epoch,train_loss,val_loss,val_iou,val_dice
1,0.9939014419809088,0.7192443532328452,0.5758491116168077,0.7091236064151711
2,0.612992733300149,0.5275249596565,0.640633819682987,0.7635037841495367
3,0.45534193734605827,0.467398363736368,0.6558900892664843,0.7754148954838634
4,0.38258706491727096,0.40825561746474237,0.6639387422664462,0.7815369588107466
5,0.32213617402773637,0.4065405192875093,0.6671113185879637,0.7838571199112243
6,0.27878777140920813,0.39371457263346643,0.6770813578558668,0.7924625954316142
7,0.2606880274060723,0.4006910506756075,0.6746848376202712,0.7888351907947189
8,0.24072498916746018,0.3965084874822247,0.6735364323257488,0.787733499238981
9,0.22533067925409836,0.3881418373315565,0.6812904559963965,0.796775027122629
10,0.2123745764781545,0.3860382173330553,0.6819472917449588,0.7962697203191071
11,0.1939545520223104,0.38967741256760013,0.6878466836929966,0.7997596818761945
12,0.1925850459537306,0.39727304539372843,0.6857447296338688,0.7986195826044786
13,0.181953496709987,0.3880856123662764,0.6902903623691992,0.8022159871036644
14,0.1774540653230844,0.38854573378639834,0.6862772148246733,0.8000544418238825
15,0.173118720573562,0.3934029855074421,0.6874641207792659,0.8003765188391437
